title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Global Reporting Initiative (GRI) Standards | Oracle,https://www.oracle.com/social-impact/philanthropy/gri-standards,30.8,14,55,1,17,10,37,2,12,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Oracle AI Database@Azure | Oracle,https://www.oracle.com/cloud/azure/oracle-database-at-azure,27.2,2,11,4,8,1,7,0,69,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Leadership Message - Environmental and Social Impact | Oracle,https://www.oracle.com/social-impact/leadership-message,26.0,2,18,1,2,6,5,2,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Sustainability—Corporate Social Responsibility Report | Oracle India,https://www.oracle.com/in/corporate-social-responsibility/sustainability,25.6,3,14,0,5,1,1,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Solutions to Accelerate Customer Sustainability,https://www.oracle.com/sustainability/customers,25.3,1,59,1,6,3,14,3,22,7,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Oracle AI Database@AWS | Oracle,https://www.oracle.com/cloud/aws,21.9,2,11,0,5,1,7,0,46,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Product Development Careers - Students and Graduates | Oracle,https://www.oracle.com/careers/students-grads/development-engineering,21.3,2,16,0,3,1,11,3,35,4,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Joyce Westerdahl | Executive Biography,https://www.oracle.com/corporate/executives/joyce-westerdahl,20.8,2,5,3,4,0,3,1,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Learn About the Work We Do | Careers | Oracle,https://www.oracle.com/careers/work-we-do,20.7,2,14,0,1,2,6,1,20,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Giving—Corporate Social Responsibility Report | Oracle India,https://www.oracle.com/in/corporate-social-responsibility/giving,20.6,0,21,2,1,0,4,0,11,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
About Oracle | Company Information | Oracle,https://www.oracle.com/corporate/,20.6,0,8,2,3,8,8,5,6,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Accessibility Policies and Standards Interpretation | Oracle,https://www.oracle.com/corporate/accessibility/policy.html,20.5,0,72,1,4,4,0,5,39,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Career Development Benefits | Careers | Oracle,https://www.oracle.com/careers/culture/training,20.3,0,8,1,5,0,18,0,11,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Philanthropy – Environmental and Social Impact | Oracle,https://www.oracle.com/social-impact/philanthropy,20.1,0,82,2,12,17,18,1,19,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Green Cloud | Oracle,https://www.oracle.com/sustainability/green-cloud,19.4,0,60,0,6,0,1,5,24,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Practices - Environmental and Social Impact | Oracle,https://www.oracle.com/social-impact/practices,18.9,1,43,0,3,3,20,0,10,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Oracle Releases Java 26,https://www.oracle.com/news/announcement/oracle-releases-java-26-2026-03-17,18.5,0,53,2,8,2,0,5,55,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
(untitled),https://www.oracle.com/in/u38-global-menu,18.1,1,15,1,1,2,5,0,41,9,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
(untitled),https://www.oracle.com/u38-global-menu,18.1,1,15,1,1,2,5,0,41,9,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Military and Veterans | Careers | Oracle,https://www.oracle.com/careers/life-at-oracle/veterans,17.4,0,8,1,6,1,16,0,14,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
AI Infrastructure | Oracle,https://www.oracle.com/ai-infrastructure,17.4,0,14,0,2,2,7,4,69,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Standards | Oracle,https://www.oracle.com/corporate/standards,16.7,0,52,1,6,3,7,1,78,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Overview - Environmental and Social Impact | Oracle,https://www.oracle.com/social-impact,16.2,0,17,0,3,2,5,0,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Corporate Social Responsibility Report | Oracle India | Oracle India,https://www.oracle.com/in/social-impact,16.1,0,15,0,1,1,5,0,2,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Cloud Infrastructure | Oracle India,https://www.oracle.com/in/cloud,15.5,0,12,0,3,2,0,6,101,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Education—Corporate Social Responsibility Report | Oracle India,https://www.oracle.com/in/corporate-social-responsibility/education,15.4,0,10,0,3,0,2,0,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
MySQL HeatWave | Oracle,https://www.oracle.com/mysql,15.4,0,15,1,5,0,1,6,34,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
"FinOps, Cost Management, and Governance | Oracle",https://www.oracle.com/cloud/cost-management-and-governance,14.9,0,12,0,0,5,2,2,15,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
2023_10K_2023-06-20_full_submission,,14.7,0,23,0,0,13,10,0,54,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\ORCL\2023_10K_2023-06-20_full_submission.txt
2024_10K_2024-06-20_full_submission,,14.7,0,22,0,0,13,10,0,54,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\ORCL\2024_10K_2024-06-20_full_submission.txt
Apply now Data Center Technician | Oracle US,https://www.oracle.com/careers/opportunities/data-center-jobs,14.3,0,5,1,2,0,9,1,10,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Gary Miller | Executive Biography,https://www.oracle.com/corporate/executives/gary-miller,14.3,0,7,2,2,0,0,0,7,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Students and Graduates | Careers | Oracle,https://www.oracle.com/careers/students-grads,14.2,0,7,0,4,0,12,0,9,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
AI Database | Oracle,https://www.oracle.com/database,14.0,0,8,1,1,0,3,5,23,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
NoSQL Database | Oracle,https://www.oracle.com/database/nosql,13.9,0,20,0,2,2,2,1,40,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Access Governance | Oracle,https://www.oracle.com/security/cloud-security/access-governance,13.7,0,41,0,5,6,2,0,22,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Career and Job Benefits | Careers | Oracle,https://www.oracle.com/careers/culture/benefits,13.5,0,14,0,1,1,11,0,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Data Flow | Oracle,https://www.oracle.com/big-data/data-flow,13.3,0,19,1,0,3,7,2,39,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Ampere A1 Compute | Oracle,https://www.oracle.com/cloud/compute/arm,13.3,0,11,1,1,1,1,5,30,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Autonomous JSON Database,https://www.oracle.com/autonomous-database/autonomous-json-database,13.1,0,16,0,1,1,3,1,15,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Run Oracle Databases on Google Cloud | Oracle,https://www.oracle.com/cloud/google/oracle-database-at-google-cloud,13.1,0,6,1,4,1,7,1,32,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
AI Database | Oracle India,https://www.oracle.com/in/database,12.9,0,9,0,1,1,4,2,24,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
2025_10K_2025-06-18_full_submission,,12.9,0,23,0,0,13,10,0,61,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\ORCL\2025_10K_2025-06-18_full_submission.txt
Volunteers—Corporate Social Responsibility Report | Oracle India,https://www.oracle.com/in/corporate-social-responsibility/volunteering,12.6,0,5,0,1,0,4,0,1,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Who We are - Life at Oracle | Careers | Oracle,https://www.oracle.com/careers/life-at-oracle,12.6,0,8,1,0,0,6,0,7,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
MySQL HeatWave Lakehouse | Oracle,https://www.oracle.com/heatwave/lakehouse,12.6,0,12,2,1,0,0,5,12,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Internships - Students and Graduates | Careers | Oracle,https://www.oracle.com/careers/students-grads/internships,12.5,0,2,1,6,0,6,1,6,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
AI Data Platform | Oracle,https://www.oracle.com/ai-data-platform,12.4,0,32,1,2,1,0,4,59,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Oracle Introduces Fusion Agentic Applications,https://www.oracle.com/news/announcement/oracle-introduces-fusion-agentic-applications-2026-03-24,12.4,0,3,0,1,0,0,2,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
OCI Cache | Oracle,https://www.oracle.com/cloud/cache,12.3,0,8,1,1,2,1,3,39,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Cloud Infrastructure Data Integration | Oracle,https://www.oracle.com/integration/data-integration,12.0,0,7,0,1,3,0,2,25,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
OCI Enterprise AI | Oracle,https://www.oracle.com/artificial-intelligence/generative-ai/generative-ai-service,11.9,0,15,0,0,0,1,3,30,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Accessibility | Oracle's Accessibility Program,https://www.oracle.com/corporate/accessibility,11.8,0,23,0,2,0,1,0,13,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
Getting Hired at Oracle | Careers | Oracle,https://www.oracle.com/careers/opportunities/getting-hired,11.7,0,2,2,1,1,25,2,9,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Oracle_Corporation\pages.csv
